"BBNA.code","species","sex","caste","latitude","longitude","year","dayno","observers","coordinates","avgGDD5","avgSummerPrecip","avgWinterPrecip","yearGDD5","summerSPI","winterSPI"
"BBNA_9519","impatiens","Female","Queen",43.98947,-77.704,2007,189,"P.H. Williams","43.989, -77.704",2210.213977,322.285,236.463720930233,2351.92,-1.504716747,-0.331199095215347
"BBNA_11526","impatiens","Female","Queen",44.88405,-73.283127,2011,172,"Leif Richardson","44.884, -73.283",2268.023068,401.1104545,161.760930232558,2426.365,0.414617482,-0.0327410373973636
"BBNA_11533","impatiens","Female","Queen",44.884571,-73.334642,2011,193,"Leif Richardson","44.885, -73.335",2243.889318,400.5052273,159.551627906977,2399.28,0.507481288,-1.76172846559728e-05
"BBNA_11544","impatiens","Female","Queen",44.282069,-72.543755,2011,208,"Leif Richardson","44.282, -72.544",1858.522159,462.35,228.429534883721,2049.05,1.295926239,0.186804717653972
"BBNA_11567","impatiens","Female","Queen",43.418,-72.462,2010,122,"Frosty Hammond","43.418, -72.462",2036.521477,440.525,254.684186046512,2210.065,-0.522036346,0.499470786528217
"BBNA_11611","impatiens","Female","Queen",44.33138,-72.95,2009,190,"Leif Richardson","44.331, -72.95",1831.242955,535.325,254.642790697674,1665.34,0.525315373,0.446818557712566
"BBNA_11683","impatiens","Male","Male",44.015,-73.16722,2008,235,"H.J.Young","44.015, -73.167",2200.904886,436.6084091,195.577674418605,2205.51,1.767985386,2.29779451896041
"BBNA_11688","impatiens","Female","Queen",44.015,-73.16722,2008,263,"T.Root","44.015, -73.167",2200.904886,436.6084091,195.577674418605,2205.51,1.767985386,2.29779451896041
"BBNA_11737","impatiens","Male","Male",44.47666,-73.19583,2007,286,"R.Bell","44.477, -73.196",2244.1925,422.6820455,177.307441860465,2281.055,-1.123320594,1.12124256537418
"BBNA_11738","impatiens","Female","Queen",44.780748,-73.145223,2006,131,"Leif Richardson","44.781, -73.145",2267.867273,402.0881818,171.055581395349,2296.55,0.781001254,0.411559322085662
"BBNA_11761","impatiens","Female","Queen",44.062042,-73.281587,2005,137,"Leif Richardson","44.062, -73.282",1965.853409,478.9006818,230.196279069767,2148.49,0.084005441,1.18983250143898
"BBNA_11763","impatiens","Female","Queen",44.195405,-72.499555,2005,130,"Leif Richardson","44.195, -72.5",2025.227841,422.4390909,205.465348837209,2223.94,-0.558964218,0.23639084887214
"BBNA_11767","impatiens","Female","Queen",44.310158,-72.573135,2005,131,"Leif Richardson","44.31, -72.573",1957.286023,443.6645455,220.406976744186,2125.96,-0.488197828,0.590133891418894
